NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA,"CARR. 459 INT. 463, BARRIO CORRALES SECTOR CALERO",AGUADILLA,PR,00603,(787) 891-0925 EXT 2100,3862,AGUADILLA,72005,PRI,18.467886,-67.121671,aguadilla.inter.edu/
FLORIDA COLLEGE OF INTEGRATIVE MEDICINE,7100 LAKE ELLENOR DR,ORLANDO,FL,32809,(407) 888-8689,117,ORANGE,12095,USA,28.463590372000056,-81.40175714999998,https://www.fcim.edu/
SUMNER COLLEGE,8338 NE ALDERWOOD ROAD STE 100,PORTLAND,OR,97220,(503) 972-6230,545,MULTNOMAH,41051,USA,45.574838973000055,-122.576779,sumnercollege.edu/
ATLANTA INSTITUTE OF MUSIC AND MEDIA,"2875 BRECKINRIDGE BLVD., SUITE 700",DULUTH,GA,30096,(770) 242-7717,293,GWINNETT,13135,USA,33.96069505400004,-84.10504412899996,aimm.edu/
CARLOW UNIVERSITY,3333 FIFTH AVE,PITTSBURGH,PA,15213,(412) 578-6000,2467,ALLEGHENY,42003,USA,40.43985095800008,-79.96392665099995,www.carlow.edu/
UNIVERSITY OF HAWAII AT MANOA,2500 CAMPUS ROAD,HONOLULU,HI,96822,(808) 956-8111,22457,HONOLULU,15003,USA,21.297323824000046,-157.81620199199998,https://manoa.hawaii.edu/
UNIVERSITY OF MICHIGAN-FLINT,303 E. KEARSLEY STREET,FLINT,MI,48502,(810) 762-3000,7793,GENESEE,26049,USA,43.01990228400007,-83.68766302599994,www.umflint.edu/
SCOTT COLLEGE OF COSMETOLOGY,1502 MARKET ST,WHEELING,WV,26003,(304) 232-7798,-999,OHIO,54069,USA,40.064690650000045,-80.72181444699999,www.scottcollegeofcosmetology.edu/
COPIAH-LINCOLN COMMUNITY COLLEGE,1001 CO-LIN LANE,WESSON,MS,39191,(601) 643-5101,3228,COPIAH,28029,USA,31.690059672000075,-90.39913307499995,www.colin.edu/
PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAMILY,620 MICHIGAN AVE NE - MCGIVNEY HALL,WASHINGTON,DC,20064,(202) 526-3799,95,DISTRICT OF COLUMBIA,11001,USA,38.93271600300005,-76.99789618499995,www.johnpaulii.edu/
OTSEGO AREA BOCES-PRACTICAL NURSING PROGRAM,31 CENTER STREET 3RD FLOOR,ONEONTA,NY,13820,(607) 431-2562,33,OTSEGO,36077,USA,42.58915,-74.922225,www.oncboces.org/
YESHIVA SHAAR HATORAH,117-06 84 AVE,KEW GARDENS,NY,11418,(718) 846-1940 EXT 110,119,QUEENS,36081,USA,40.703857,-73.8343,shaarhatorah.edu/
GERBERS AKRON BEAUTY SCHOOL,1915 WEST MARKET ST. SUITE 800,AKRON,OH,44313,(330) 867-6200,80,SUMMIT,39153,USA,41.113755,-81.576144,akronbeautyschool.com/
TINT SCHOOL OF MAKEUP AND COSMETOLOGY-DALLAS,311 A E PIONEER PKWY HWY 303,GRAND PRAIRIE,TX,75051,(972) 237-1988,232,DALLAS,48113,USA,32.708337,-97.001678,www.tintdallasmakeupcosmetologyschool.com/
ARIZONA BOARD OF REGENTS,"2700 N CENTRAL AVE, SUITE 400",PHOENIX,AZ,85004,(602) 229-2500,35,MARICOPA,04013,USA,33.47024463500003,-112.07455981099997,www.azregents.edu/
ACADEMY OF HAIR DESIGN-JASPER,348 SPRING HILL ST,JASPER,TX,75951,(409) 384-8200,56,JASPER,48241,USA,30.908631,-94.004883,lufkinhairdesign.com/
PHOENIX INSTITUTE OF HERBAL MEDICINE & ACUPUNCTURE,301 E BETHANY HOME RD STE A100,PHOENIX,AZ,85012,(602) 274-1885,178,MARICOPA,04013,USA,33.522890387000075,-112.06878291099997,www.pihma.edu/
PRESCOTT COLLEGE,220 GROVE AVE,PRESCOTT,AZ,86301,(877) 350-2100,1285,YAVAPAI,04025,USA,34.54479148400003,-112.47653288599997,https://www.prescott.edu/
LA JAMES INTERNATIONAL COLLEGE-IOWA CITY,227 E MARKET-BREWERY SQ,IOWA CITY,IA,52245,(319) 338-3926,-999,JOHNSON,19103,USA,41.663776,-91.532238,www.ljic.edu/
WISCONSIN LUTHERAN COLLEGE,8800 W BLUEMOUND RD,MILWAUKEE,WI,53226,(414) 443-8800,1401,MILWAUKEE,55079,USA,43.036943163000046,-88.02271806199997,www.wlc.edu/
MR JOHN'S SCHOOL OF COSMETOLOGY & NAILS-JACKSONVILLE,1429 S MAIN ST,JACKSONVILLE,IL,62650,(217) 243-1744,-999,MORGAN,17137,USA,39.71467755500004,-90.23011861299995,mrjohns.com
LEGRAND INSTITUTE OF COSMETOLOGY INC,2418 BROAD ST,CAMDEN,SC,29020,(803) 425-8449,30,KERSHAW,45055,USA,34.27161964600003,-80.60899606199996,www.legrandinstitute.com/
OBERLIN COLLEGE,70 N PROFESSOR ST,OBERLIN,OH,44074,(440) 775-8411,3669,LORAIN,39093,USA,41.29473991500004,-82.22178623399998,www.oberlin.edu/
WELDER TRAINING AND TESTING INSTITUTE,729 E. HIGHLAND STREET,ALLENTOWN,PA,18109,(610) 437-9720,81,LEHIGH,42077,USA,40.62646949300006,-75.4472635,www.wtti.edu/
OLIVET NAZARENE UNIVERSITY,ONE UNIVERSITY AVENUE,BOURBONNAIS,IL,60914,(815) 939-5011,4542,KANKAKEE,17091,USA,41.15620286600006,-87.87317774799999,www.olivet.edu/
MARIAN UNIVERSITY,3200 COLD SPRING RD,INDIANAPOLIS,IN,46222,(317) 955-6000,4419,MARION,18097,USA,39.81533988000007,-86.20459911699999,www.marian.edu/
EASTERN CENTER FOR ARTS AND TECHNOLOGY,3075 TERWOOD RD,WILLOW GROVE,PA,19090,(215) 784-4800,149,MONTGOMERY,42091,USA,40.15843710300004,-75.10864896199996,www.eastech.org/
MORGAN COMMUNITY COLLEGE,920 BARLOW ROAD,FORT MORGAN,CO,80701,(970) 542-3100,1528,MORGAN,08087,USA,40.258792,-103.771822,https://www.morgancc.edu/
MENDOCINO COLLEGE,1000 HENSLEY CREEK ROAD,UKIAH,CA,95482,(707) 468-3000,3654,MENDOCINO,06045,USA,39.18970274000003,-123.22833960199995,www.mendocino.edu/
MAYFIELD COLLEGE,35-325 DATE PALM DR STE 101,CATHEDRAL CITY,CA,92234,(760) 328-5554,341,RIVERSIDE,06065,USA,33.792119,-116.458826,www.mayfieldcollege.edu/
GRAMBLING STATE UNIVERSITY,403 MAIN STREET,GRAMBLING,LA,71245,(318) 247-3811,5883,LINCOLN,22061,USA,32.52270195400007,-92.71736695799996,www.gram.edu/
HAIR ACADEMY,8435 OLD ANNAPOLIS RD,NEW CARROLLTON,MD,20784,(301) 459-2509 EXT 13,417,PRINCE GEORGE'S,24033,USA,38.956205,-76.869467,www.hairacademymd.com/
LAKE CAREER AND TECHNICAL CENTER,269 DARE BLVD.,CAMDENTON,MO,65020,(573) 346-9260 EXT 7260,28,CAMDEN,29029,USA,38.005507,-92.732979,https://lctc.camdentonschools.org/
HUMBOLDT STATE UNIVERSITY,1 HARPST STREET,ARCATA,CA,95521,(707) 826-3011,7705,HUMBOLDT,06023,USA,40.87545198300006,-124.07725509099998,www.humboldt.edu/
TONI & GUY HAIRDRESSING ACADEMY-WORCESTER,6 PARK AVENUE,WORCESTER,MA,01605,(508) 756-6060,276,WORCESTER,25027,USA,42.284819,-71.808248,worcester.toniguy.edu/
LAURUS COLLEGE,81 HIGUERA ST STE 110,SAN LUIS OBISPO,CA,93401,(805) 267-1690,1010,SAN LUIS OBISPO,06079,USA,35.26820002900007,-120.66951862299999,www.lauruscollege.edu/
TOYOTA TECHNOLOGICAL INSTITUTE AT CHICAGO,6045 S. KENWOOD AVENUE,CHICAGO,IL,60637,(773) 834-2500,81,COOK,17031,USA,41.78445839600005,-87.59266085199994,www.ttic.edu/
EASTERN COLLEGE OF HEALTH VOCATIONS-LITTLE ROCK,200 SOUTH UNIVERSITY AVENUE,LITTLE ROCK,AR,72205,(501) 568-0211,93,PULASKI,05119,USA,34.751263,-92.341824,www.easterncollege.edu/
ALLEN COLLEGE,1990 HEATH ST,WATERLOO,IA,50703,(319) 226-2000,797,BLACK HAWK,19013,USA,42.530084387000045,-92.34014834999994,www.allencollege.edu/
MISSISSIPPI DELTA COMMUNITY COLLEGE,HWY 3 AND CHERRY ST,MOORHEAD,MS,38761,(662) 246-6322,2388,SUNFLOWER,28133,USA,33.444906063000076,-90.50205284299994,www.msdelta.edu/
THE COLLEGE OF THE FLORIDA KEYS,5901 COLLEGE RD,KEY WEST,FL,33040,(305) 296-9081,1028,MONROE,12087,USA,24.58274840200005,-81.7444595,https://www.cfk.edu/
THOMAS EDISON STATE UNIVERSITY,111 W STATE ST,TRENTON,NJ,08608,(609) 984-1100 EXT 2025,10804,MERCER,34021,USA,40.22041699000005,-74.76863171099995,www.tesu.edu/
RINGLING COLLEGE OF ART AND DESIGN,2700 NORTH TAMIAMI TRAIL,SARASOTA,FL,34234,(800) 255-7695,2055,SARASOTA,12115,USA,27.36013426100004,-82.54823588599999,https://www.ringling.edu/
HARTWICK COLLEGE,ONE HARTWICK DRIVE,ONEONTA,NY,13820,(607) 431-4000,1581,OTSEGO,36077,USA,42.45917772400003,-75.07168376099997,www.hartwick.edu/
ST. THOMAS AQUINAS COLLEGE,125 RTE 340,SPARKILL,NY,10976,(845) 398-4000,2116,ROCKLAND,36087,USA,41.04219162700008,-73.93684151999997,www.stac.edu/
CINCINNATI SCHOOL OF BARBERING & HAIR DESIGN,6500 COLERAIN AVENUE,CINCINNATI,OH,45239,(513) 923-3385,57,HAMILTON,39061,USA,39.206972,-84.582933,cincinnatischoolofbarbering.com/
LATIN AMERICAN BIBLE INSTITUTE,14209 EAST LOMITAS AVENUE,LA PUENTE,CA,91746,(626) 968-1328,84,LOS ANGELES,06037,USA,34.031171054000026,-117.98952151799995,labi.edu/
UNITECH TRAINING ACADEMY-LAKE CHARLES,2827 4TH AVENUE,LAKE CHARLES,LA,70601,(337) 988-4042,31,CALCASIEU,22019,USA,30.20423922200007,-93.19284630799996,www.unitechtrainingacademy.com/
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,11937 US HIGHWAY 271,TYLER,TX,75708,(903) 877-7777,1515,SMITH,48423,USA,32.42611217900003,-95.21267158399996,https://www.uthct.edu/
RIVER VALLEY SCHOOL OF MASSAGE,2003 EAST PARKWAY DRIVE,RUSSELLVILLE,AR,72802,(479) 890-7876,12,POPE,05115,USA,35.283128410000074,-93.11078712499994,https://www.rvsmassage.com/
PIMA MEDICAL INSTITUTE-PHOENIX,"13610 N. BLACK CANYON HIGHWAY, SUITE 102",PHOENIX,AZ,85029,(602) 265-7462,890,MARICOPA,04013,USA,33.608723,-112.118075,www.pmi.edu/
SAN IGNACIO UNIVERSITY,3905 NW 107TH AVE SUITE 301,DORAL,FL,33178,(305) 629-2929 EXT 4015,334,MIAMI-DADE,12086,USA,25.812733730000048,-80.36566188599994,www.sanignaciouniversity.edu/
EA LA MAR'S COSMETOLOGY & BARBER COLLEGE,1220 BROOKLYN AVENUE,KANSAS CITY,MO,64127,(816) 241-4325,34,JACKSON,29095,USA,39.09844,-94.556313,https://www.ealamarscollege.com/
NORTHLAND COMMUNITY AND TECHNICAL COLLEGE,1101 HWY ONE EAST,THIEF RIVER FALLS,MN,56701,(218) 793-2800,3198,PENNINGTON,27113,USA,48.124955,-96.162362,www.northlandcollege.edu/
THE COLLEGE OF HEALTH CARE PROFESSIONS-MCALLEN CAMPUS,1917 W. NOLANA AVE SUITE 100,MCALLEN,TX,78504,(956) 800-1500,587,HIDALGO,48215,USA,26.239856,-98.234872,www.chcp.edu/
CHAMBERLAIN UNIVERSITY-CALIFORNIA,10971 SUN CENTER,RANCHO CORDOVA,CA,95670,(916) 330-3410,263,SACRAMENTO,06067,USA,38.596193,-121.278258,https://www.chamberlain.edu/
OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES,1111 W 17TH ST,TULSA,OK,74107,(918) 582-1972,1854,TULSA,40143,USA,36.13842579300007,-96.00495101399997,https://medicine.okstate.edu/
ALAMANCE COMMUNITY COLLEGE,1247 JIMMIE KERR ROAD,GRAHAM,NC,27253,(336) 578-2002,4699,ALAMANCE,37001,USA,36.066683,-79.357657,www.alamancecc.edu/
BUTLER COUNTY COMMUNITY COLLEGE,107 COLLEGE DRIVE,BUTLER,PA,16002,(724) 287-8711,3509,BUTLER,42019,USA,40.82996,-79.911145,www.bc3.edu/
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-KNOXVILLE,1100 LIBERTY STREET,KNOXVILLE,TN,37919,(865) 546-5567,1058,KNOX,47093,USA,35.957151112000076,-83.96419339299996,https://www.tcatknoxville.edu/
BETHESDA UNIVERSITY,730 N. EUCLID ST,ANAHEIM,CA,92801,(714) 683-1212,484,ORANGE,06059,USA,33.84229458400006,-117.94132305999995,www.buc.edu/
COLLEGE OF MASSAGE THERAPY,1600 HIGHLAND DRIVE,BLACKFOOT,ID,83221,(208) 785-2327,19,BINGHAM,16011,USA,43.19301532900005,-112.34700287099997,www.collegemassagetherapy.com/
SETON HILL UNIVERSITY,1 SETON HILL DRIVE,GREENSBURG,PA,15601,(724) 834-2200,2366,WESTMORELAND,42129,USA,40.308623,-79.556228,www.setonhill.edu/
CLINTON COLLEGE,1029 CRAWFORD RD,ROCK HILL,SC,29730,(803) 327-7402 EXT 8151,186,YORK,45091,USA,34.91372059200006,-81.04346938399993,www.clintoncollege.edu/
BEST CARE COLLEGE,68 SOUTH HARRISON,EAST ORANGE,NJ,07018,(973) 673-3900,73,ESSEX,34013,USA,40.76540645700004,-74.22122589899999,bestcarecollege.edu/
DEWEY UNIVERSITY-MANATI,"ROAD 604, KM. 49.1, BARRIO TIERRAS NUEVAS SALIENTE",MANATI,PR,00674,(787) 854-1899,282,MANATÍ,72091,PRI,18.433333,-66.487346,dewey.edu/
SOUTHERN UNION STATE COMMUNITY COLLEGE,750 ROBERTS ST,WADLEY,AL,36276,(256) 395-2211,4399,RANDOLPH,01111,USA,33.12855703200006,-85.57259842199994,www.suscc.edu/
GARDEN CITY COMMUNITY COLLEGE,801 CAMPUS DR,GARDEN CITY,KS,67846,(620) 276-7611 EXT 571,2204,FINNEY,20055,USA,37.97014618900005,-100.84808273599998,www.gcccks.edu/
FINGER LAKES HEALTH COLLEGE OF NURSING & HEALTH SCIENCES,196 NORTH STREET,GENEVA,NY,14456,(315) 787-4005,133,ONTARIO,36069,USA,42.876430680000055,-76.98783966499997,www.flhcon.edu/
ZANE STATE COLLEGE,1555 NEWARK RD,ZANESVILLE,OH,43701,(740) 588-5000,2395,MUSKINGUM,39119,USA,39.961387228000035,-82.03176878699998,www.zanestate.edu/
WASHINGTON COUNTY CAREER CENTER-ADULT TECHNICAL TRAINING,21740 STATE ROUTE 676,MARIETTA,OH,45750,(740) 373-6283,149,WASHINGTON,39167,USA,39.43234526100008,-81.50144044999996,www.mycareerschool.com/
PURDUE UNIVERSITY FORT WAYNE,2101 E COLISEUM BLVD,FORT WAYNE,IN,46805,(260) 481-4739,9389,ALLEN,18003,USA,41.11541835700007,-85.11174661699994,www.pfw.edu/
HINTON BARBER AND BEAUTY COLLEGE,1035 TENNESSEE ST.,VALLEJO,CA,94590,(707) 647-2800,49,SOLANO,06095,USA,38.10960228500005,-122.24547797199995,hintonbarberbeauty.com/
SHILOH UNIVERSITY,416 D AVENUE,KALONA,IA,52247,(319) 656-2447,76,WASHINGTON,19183,USA,41.45908871900008,-91.70569556799995,www.shilohuniversity.edu/
SANFORD MEDICAL CENTER,1305 W. 18TH STREET,SIOUX FALLS,SD,57117,(605) 333-7544,34,MINNEHAHA,46099,USA,43.53640845600006,-96.74314436699996,www.sanfordhealth.org/
PIONEER TECHNOLOGY CENTER,2101 N ASH,PONCA CITY,OK,74601,(580) 762-8336,479,KAY,40071,USA,36.727720229000056,-97.09351564899998,pioneertech.edu/
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-DICKSON,740 HWY 46,DICKSON,TN,37055,(615) 441-6220,873,DICKSON,47043,USA,36.050549069000056,-87.36645463299999,https://www.tcatdickson.edu/
NATIONAL AMERICAN UNIVERSITY-HAROLD D. BUCKINGHAM GRADUATE SCHOOL,5301 MOUNT RUSHMORE RD,RAPID CITY,SD,57701,(512) 813-2300,-999,PENNINGTON,46103,USA,44.031496,-103.250233,www.national.edu/
NORTHEASTERN UNIVERSITY LIFELONG LEARNING NETWORK,360 HUNTINGTON AVE,BOSTON,MA,02115,(617) 373-2000,12592,SUFFOLK,25025,USA,42.339477044000034,-71.08784113199994,https://www.northeastern.edu/learnforlife/
UNIVERSITY OF NEW MEXICO-VALENCIA COUNTY CAMPUS,280 LA ENTRADA,LOS LUNAS,NM,87031,(505) 925-8500,1556,VALENCIA,35061,USA,34.72868318600007,-106.70537120099999,valencia.unm.edu/
THE COLLEGE OF IDAHO,2112 CLEVELAND BLVD,CALDWELL,ID,83605,(208) 459-5011,1414,CANYON,16027,USA,43.652567512000076,-116.676266581,www.collegeofidaho.edu/
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-MACON,175 TOM HILL SR BLVD,MACON,GA,31210,(478) 803-4800,255,BIBB,13021,USA,32.89782118000005,-83.68706453099998,www.miller-motte.edu/
GREENE COUNTY VOCATIONAL SCHOOL DISTRICT,532 INNOVATION DRIVE,XENIA,OH,45385,(937) 372-6941,61,GREENE,39057,USA,39.769590976000075,-83.94609557899997,www.greeneccc.com/
SAUK VALLEY COMMUNITY COLLEGE,173 ILLINOIS RT 2,DIXON,IL,61021,(815) 288-5511,1578,LEE,17103,USA,41.817659,-89.596483,www.svcc.edu/
WEST VIRGINIA JUNIOR COLLEGE-CHARLESTON,5514 BIG TYLER ROAD SUITE 200,CROSS LANES,WV,25313,(304) 345-2820,247,KANAWHA,54039,USA,38.34799259000005,-81.63418168199996,www.wvjc.edu/
WENTWORTH INSTITUTE OF TECHNOLOGY,550 HUNTINGTON AVE,BOSTON,MA,02115,(617) 989-4590,5206,SUFFOLK,25025,USA,42.33663200500007,-71.09498251799994,https://wit.edu/
COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR SKIN AND NAILS,121 W SUPERIOR ST,DULUTH,MN,55802,(218) 722-7484,28,ST. LOUIS,27137,USA,46.78549764500008,-92.10042690899996,www.ccucollege.net/
SAN JUAN COLLEGE,4601 COLLEGE BLVD,FARMINGTON,NM,87402,(505) 326-3311,6203,SAN JUAN,35045,USA,36.771028331000025,-108.16937650499995,www.sanjuancollege.edu/
CARIBBEAN UNIVERSITY-VEGA BAJA,"CARR 671 K.M. 5, SECTOR EL CRIOLLO, BO. ALGARROBO",VEGA BAJA,PR,00964,(787) 858-3668,165,VEGA BAJA,72145,PRI,18.444882,-66.403121,www.caribbean.edu/
COLLEGE OF THE MARSHALL ISLANDS,OCEANSIDE ULIGA - PO BOX 1258,MAJURO,MH,96960,(692) 625-3394 EXT 236,1460,NOT AVAILABLE,NOT AVAILABLE,MHL,7.10274,171.378442,www.cmi.edu/
CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY - COLLEGE OF NURSING,2101 WATERVIEW PKWY,RICHARDSON,TX,75080,(469) 941-8300,122,DALLAS,48113,USA,32.913799692000055,-96.73487800499998,https://www.dni.edu/
BELLE ACADEMY OF COSMETOLOGY LLC,27A SOUTH COMMONS ROAD,WATERBURY,CT,06704,(203) 528-0200,10,NEW HAVEN,09009,USA,41.59750655200003,-73.05588601299996,www.belleacademy.com/
MORRISON INSTITUTE OF TECHNOLOGY,701 PORTLAND AVE,MORRISON,IL,61270,(815) 772-7218 EXT 201,95,WHITESIDE,17195,USA,41.80176511900004,-89.96626670999996,www.morrisontech.edu/
CVPH MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHNOLOGY,75 BEEKMAN ST,PLATTSBURGH,NY,12901,(518) 562-7510,22,CLINTON,36019,USA,44.69992897700007,-73.46959671699994,www.cvph.org/Residency-and-Education/School-of-Radiology/
ARNOLDS BEAUTY SCHOOL,1179 S SECOND ST,MILAN,TN,38358,(731) 686-7351,83,GIBSON,47053,USA,35.919195098000046,-88.76012526099998,arnoldsbeautyschool.com/
ACADEMY FOR JEWISH RELIGION-CALIFORNIA,574 HILGARD AVENUE,LOS ANGELES,CA,90024,(213) 884-4133,81,LOS ANGELES,06037,USA,34.070281,-118.438495,www.ajrca.edu/
HOUSTON TRAINING SCHOOL-MAIN CAMPUS,10314 I-10 EAST FWY,HOUSTON,TX,77029,(281) 867-9099,130,HARRIS,48201,USA,29.772954129000027,-95.24424212499997,houstontrainingschools.net/
EMPIRE BEAUTY SCHOOL-LACONIA,556 MAIN ST,LACONIA,NH,03246,(603) 524-8777,73,BELKNAP,33001,USA,43.527048053000044,-71.46940309899998,www.empirebeautyschools.com/
CLARKSON UNIVERSITY,8 CLARKSON AVE,POTSDAM,NY,13699,(315) 268-6400,4891,ST. LAWRENCE,36089,USA,44.663761,-74.999947,https://www.clarkson.edu/
MARION S WHELAN SCHOOL OF NURSING OF GENEVA GENERAL HOSPITAL,196 NORTH ST,GENEVA,NY,14456,(315) 787-4005,19,ONTARIO,36069,USA,42.87702720900006,-76.98800796699999,www.mswspn.com/
KENYON COLLEGE,KENYON COLLEGE,GAMBIER,OH,43022,(740) 427-5000,2276,KNOX,39083,USA,40.376828,-82.396215,https://www.kenyon.edu/
LOUISIANA STATE UNIVERSITY-ALEXANDRIA,8100 HWY 71 SOUTH,ALEXANDRIA,LA,71302,(318) 445-3672,4011,RAPIDES,22079,USA,31.17861550400005,-92.41440856299994,www.lsua.edu/
TONI & GUY HAIRDRESSING ACADEMY-CRANSTON,1279 OAKLAWN AVE,CRANSTON,RI,02920,(401) 463-3633,145,PROVIDENCE,44007,USA,41.733394711000074,-71.47837232199998,https://rhodeisland.toniguy.edu/
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-COLUMBUS,1800 BOX RD,COLUMBUS,GA,31907,(706) 225-5000 EXT 5002,420,MUSCOGEE,13215,USA,32.479997326000046,-84.93591166999994,https://www.miller-motte.edu/
HARRIS SCHOOL OF BUSINESS-UPPER DARBY CAMPUS,20 SOUTH 69TH ST.,UPPER DARBY,PA,19082,(484) 463-3800,-999,DELAWARE,42045,USA,39.96092089200005,-75.25921214299996,www.harrisschool.edu
MOHAVE COMMUNITY COLLEGE,1971 JAGERSON AVE,KINGMAN,AZ,86409,(928) 757-4331,4110,MOHAVE,04015,USA,35.27051134100003,-114.03077894499995,https://www.mohave.edu/
PRECISION MANUFACTURING INSTITUTE,764 BESSEMER STREET SUITE 105,MEADVILLE,PA,16335,(814) 333-2415,45,CRAWFORD,42039,USA,41.64127334600005,-80.15731098899994,www.gopmi.org/
OHIO STATE UNIVERSITY AGRICULTURAL TECHNICAL INSTITUTE,1328 DOVER RD,WOOSTER,OH,44691,(330) 287-1331,641,WAYNE,39169,USA,40.77519447800006,-81.92293580799998,ati.osu.edu/
OKLAHOMA STATE UNIVERSITY INSTITUTE OF TECHNOLOGY,1801 E 4TH ST,OKMULGEE,OK,74447,(918) 293-4678,2702,OKMULGEE,40111,USA,35.62841659700007,-95.9403393,https://osuit.edu/
COMMUNITY COLLEGE OF AURORA,16000 E CENTRETECH PKY,AURORA,CO,80011,(303) 360-4700,8281,ARAPAHOE,08005,USA,39.71747202100005,-104.80196569599997,https://www.ccaurora.edu/
LORAIN COUNTY COMMUNITY COLLEGE,1005 NORTH ABBE RD,ELYRIA,OH,44035,(440) 365-5222,11208,LORAIN,39093,USA,41.41227311000006,-82.07293777099994,https://www.lorainccc.edu/
OLYMPIC COLLEGE,1600 CHESTER AVE,BREMERTON,WA,98337,(360) 792-6050,6182,KITSAP,53035,USA,47.5749633,-122.63605877199996,www.olympic.edu/
PIMA MEDICAL INSTITUTE-EAST VALLEY,2160 S POWER RD,MESA,AZ,85209,(480) 898-9898,410,MARICOPA,04013,USA,33.376377115000025,-111.68952241299996,pmi.edu/
NORWALK COMMUNITY COLLEGE,188 RICHARDS AVENUE,NORWALK,CT,06854,(203) 857-7000,4818,FAIRFIELD,09001,USA,41.10257409800005,-73.45096461799994,https://norwalk.edu/
SEGUIN BEAUTY SCHOOL-SEGUIN,102 E COURT ST,SEGUIN,TX,78155,(830) 372-0935,38,GUADALUPE,48187,USA,29.56909190500005,-97.96444672799998,seguinbeautyschool.net/
ESTRELLA MOUNTAIN COMMUNITY COLLEGE,3000 N DYSART RD,AVONDALE,AZ,85392,(623) 935-8000,9589,MARICOPA,04013,USA,33.480722109000055,-112.34315754299996,www.estrellamountain.edu/
WESTERN IOWA TECH COMMUNITY COLLEGE,4647 STONE AVE,SIOUX CITY,IA,51102,(712) 274-6400 EXT 1731,6080,WOODBURY,19193,USA,42.48295314400008,-96.34887360899995,https://www.witcc.edu/
RICHLAND COMMUNITY COLLEGE,ONE COLLEGE PARK,DECATUR,IL,62521,(217) 875-7200 EXT 6302,2485,MACON,17115,USA,39.883886880000034,-88.89412531499994,https://www.richland.edu/
LANE COLLEGE,545 LANE AVE,JACKSON,TN,38301,(731) 426-7500,1290,MADISON,47113,USA,35.628121269000076,-88.80676622999994,www.lanecollege.edu/
WISCONSIN SCHOOL OF PROFESSIONAL PSYCHOLOGY,9120 W HAMPTON AVE,MILWAUKEE,WI,53225,(414) 464-9777,104,MILWAUKEE,55079,USA,43.10533953500004,-88.026735,www.wspp.edu/
LOS ANGELES CITY COLLEGE,855 N VERMONT AVE,LOS ANGELES,CA,90029,(323) 953-4000,15605,LOS ANGELES,06037,USA,34.08730090100005,-118.29216910899999,www.lacitycollege.edu/
ALBRIGHT COLLEGE,1621 N. 13TH ST.,READING,PA,19612,(610) 921-2381,2016,BERKS,42011,USA,40.361336668000035,-75.90974779799996,www.albright.edu/home/
CHAMBERSBURG BEAUTY SCHOOL,171 CEDAR AVE,CHAMBERSBURG,PA,17201,(301) 459-2509 EXT 13,-999,FRANKLIN,42055,USA,39.93507692600008,-77.66535892599995,www.chambersburgbeautyschool.com/
INSTITUTE OF CLINICAL ACUPUNCTURE & ORIENTAL MED,"100 N. BERETANIA STREET, SUITE 203B",HONOLULU,HI,96817,(808) 521-2288,74,HONOLULU,15003,USA,21.313924490000034,-157.86087907399997,www.orientalmedicine.edu/
ESTES INSTITUTE OF COSMETOLOGY ARTS AND SCIENCE,324 E MAIN ST,VISALIA,CA,93291,(559) 733-3617,45,TULARE,06107,USA,36.33042219600003,-119.28923395699996,www.estescosmetology.com/
UNIVERSITY OF PIKEVILLE,147 SYCAMORE ST,PIKEVILLE,KY,41501,(606) 218-5250,2651,PIKE,21195,USA,37.47923159000004,-82.52116297399994,www.upike.edu/
POPLAR BLUFF TECHNICAL CAREER CENTER,3203 OAK GROVE RD,POPLAR BLUFF,MO,63901,(573) 785-2248,38,BUTLER,29023,USA,36.79383160700007,-90.45049533099996,www.poplarbluffschools.net/
HIGHLANDS COLLEGE OF MONTANA TECH,25 BASIN CREEK RD,BUTTE,MT,59701,(406) 496-3711,679,SILVER BOW,30093,USA,45.93814507800005,-112.50936475399999,https://www.mtech.edu/
CITY COLLEGE-FORT LAUDERDALE,2000 W. COMMERCIAL BOULEVARD,FORT LAUDERDALE,FL,33309,(954) 492-5353,385,BROWARD,12011,USA,26.187467,-80.1705,https://www.citycollege.edu/
THE SALON PROFESSIONAL ACADEMY-CEDAR FALLS,1350 COLLEGE SQUARE MALL,CEDAR FALLS,IA,50613,(319) 260-9995,106,BLACK HAWK,19013,USA,42.51080187700006,-92.43310403399994,tspacedarfalls.com/
